ano,trimestre,CodigoDepartamento,departamento,CodigoMunicipio,municipio,impuestomes1,impuestomes2,impuestomes3,totalimpuesto
2015,3,70,SUCRE,70473,MORROA,2763050,3109184,2844309,8716543
2015,1,5,ANTIOQUIA,05154,CAUCASIA,343548061,307436579,343819809,994804449
2015,1,5,ANTIOQUIA,05579,PUERTO BERRIO,306469123,274254016,306711877,887435016
2015,1,5,ANTIOQUIA,05585,PUERTO NARE,46883840,38117529,41995751,126997120
2015,1,5,ANTIOQUIA,05591,PUERTO TRIUNFO,58874264,50110458,53686199,162670921
2015,1,5,ANTIOQUIA,05604,REMEDIOS,361782731,323764401,362065936,1047613068
2015,1,5,ANTIOQUIA,05736,SEGOVIA,130035819,116372270,130137189,376545278
2015,1,5,ANTIOQUIA,05765,SONSON,29308586,24945818,26725881,80980285
2015,1,5,ANTIOQUIA,05895,ZARAGOZA,296630176,265452080,296864304,858946560
2015,1,81,ARAUCA,81300,FORTUL,95097622.7809899,86182105.758538097,96376977.073486596,277656705.613015
2015,1,81,ARAUCA,81736,SARAVENA,247623521.51118001,245306295.64847201,259903040.263549,752832857.42320001
2015,1,81,ARAUCA,81794,TAME,275431443.70783001,249609411.59299001,279136839.662965,804177694.96378505
2015,1,13,BOLIVAR,13052,ARJONA,3445077,1246682,0,4691759
2015,1,13,BOLIVAR,13001,CARTAGENA,1264877,457725,0,1722602
2015,1,13,BOLIVAR,13188,CICUCO,6886154,13875759,16611666,37373579
2015,1,13,BOLIVAR,13212,CORDOBA,9401575,9130759,10050357,28582691
2015,1,13,BOLIVAR,13430,MAGANGUE,19809520,28540350,33146729,81496599
2015,1,13,BOLIVAR,13442,MARIA LA BAJA,4331860,1567586,0,5899446
2015,1,13,BOLIVAR,13468,MOMPOS,7663189,15441503,18486130,41590822
2015,1,13,BOLIVAR,13780,TALAIGUA NUEVO,3283383,6616093,7920600,17820076
2015,1,13,BOLIVAR,13838,TURBANA,2584093,935115,0,3519208
2015,1,15,BOYACA,15104,BOYACA,41463507.803035401,37452199.031963199,41282999.2595945,120198706.094593
2015,1,15,BOYACA,15131,CALDAS,57471.363538150901,7708.2709343823799,875.42561672515399,66055.060089258404
2015,1,15,BOYACA,15135,CAMPOHERMOSO,152038967.27683899,137325550.120985,151371089.96581799,440735607.36364198
2015,1,15,BOYACA,15223,CUBARA,22906566.955162201,21182084.046994802,22707596.9481101,66796247.950267099
2015,1,15,BOYACA,15367,JENESANO,186582623.188665,168534473.68893301,185773447.51976699,540890544.39736402
2015,1,15,BOYACA,15455,MIRAFLORES,269508331.32121497,243438697.38969499,268339426.123023,781286454.833933
2015,1,15,BOYACA,15469,MONIQUIRA,34548354.195794903,31209553.719096702,34402430.119992197,100160338.03488401
2015,1,15,BOYACA,15507,OTANCHE,379266954.653952,342245761.694906,377195531.94170803,1098708248.29057
2015,1,15,BOYACA,15514,PAEZ,152032760.36957699,137324717.62772399,151370995.41985199,440728473.417153
2015,1,15,BOYACA,15531,PAUNA,5747.1363538150899,770.82709343823797,87.542561672515404,6605.5060089258504
2015,1,15,BOYACA,15599,RAMIRIQUI,117485081.462304,106115255.480811,116968575.58611099,340568912.52922499
2015,1,15,BOYACA,15639,SACHICA,96747969.356135994,87388436.168564707,96326994.322874501,280463399.84757501
2015,1,15,BOYACA,15646,SAMACA,158945284.66193601,143567011.287195,158251524.50873199,460763820.45786297
2015,1,15,BOYACA,15667,SAN LUIS DE GACENO,27639680.484793302,24967776.513778102,27521958.6846283,80129415.683199599
2015,1,15,BOYACA,15696,SAN SOFIA,179672498.32573399,162292501.84977299,178892954.97990599,520857955.15541297
2015,1,15,BOYACA,15776,SUTAMARCHAN,8567407.4069044907,7739890.8263874901,8531793.5871778503,24839091.8204698
2015,1,15,BOYACA,15832,TUNUNGUA,100574.886191764,13489.474135169199,1531.9948292690201,115596.355156202
2015,1,15,BOYACA,15861,VENTAQUEMADA,55287191.442868598,49936603.279470898,55044037.645996802,160267832.36833599
2015,2,5,ANTIOQUIA,05765,SONSON,26158664,28385079,29782784,84326527
2015,1,15,BOYACA,15407,VILLA DE LEYVA,136550631.39065799,123342239.300502,135958639.258764,395851509.94992399
2015,1,15,BOYACA,15897,ZETAQUIRA,158950169.72783601,143567666.49022499,158251598.91991001,460769435.13797098
2015,1,17,CALDAS,17380,LA DORADA,168305296,144341761,154257032,466904089
2015,1,85,CASANARE,85125,HATO COROZAL,254322642.03993401,230079402.714555,257754651.61413401,742156696.36862195
2015,1,85,CASANARE,85162,MONTEREY,1895153857.5490999,1606380086.0092599,1814082882.3585899,5315616825.9169502
2015,1,85,CASANARE,85225,NUNCHIA,153218790.79098201,138613249.48093799,155286434.396723,447118474.668643
2015,1,85,CASANARE,85263,PORE,91963124.733041301,83196763.698476806,93204140.639891893,268364029.07141
2015,1,85,CASANARE,85300,SABANALARGA,264372824.88694301,239141391.09677401,264721152.99066001,768235368.97437704
2015,1,19,CAUCA,19933,PIAMONTE,0,436898,461832,898730
2015,1,20,CESAR,20011,AGUACHICA,132357795,170473602,186008593,488839990
2015,1,20,CESAR,20175,CHIMICHAGUA,38526587,37416815,41185223,117128625
2015,1,20,CESAR,20295,GAMARRA,44830083,57704581,62953438,165488102
2015,1,20,CESAR,20383,LA GLORIA,70907727,90538841,99644204,261090772
2015,1,20,CESAR,20517,PAILITAS,14887090,14458262,15914416,45259768
2015,1,20,CESAR,20550,PELAYA,20306736,25290205,28874145,74471086
2015,1,20,CESAR,20614,RIO DE ORO,21938257,28253103,30829969,81021329
2015,1,20,CESAR,20710,SAN ALBERTO,51438323,66207043,72242032,189887398
2015,1,20,CESAR,20787,TAMALAMEQUE,17483437,29565995,34887295,81936727
2015,1,23,CORDOBA,23079,BUENAVISTA,166045549,148595914,166175699,480817162
2015,1,23,CORDOBA,23182,CHINU,30698725,27480044,30720550,88899319
2015,1,23,CORDOBA,23350,LA APARTADA,78938253,70654545,78996554,228589352
2015,1,23,CORDOBA,23464,MOMIL,57543870,51496976,57588866,166629712
2015,1,23,CORDOBA,23555,PLANETA RICA,103330432,92471102,103411543,299213077
2015,1,23,CORDOBA,23570,PUEBLO NUEVO,102984824,92162847,103065352,298213023
2015,1,23,CORDOBA,23660,SAHAGUN,253293930,226661472,253496662,733452064
2015,1,23,CORDOBA,23670,SAN ANDRES DE SOTAVENTO,162509172,145432185,162636246,470577603
2015,1,23,CORDOBA,23815,TUCHIN,51885932,46436694,51925570,150248196
2015,1,25,CUNDINAMARCA,25148,CAPARRAPI,1518598,3332130,2824674,7675402
2015,1,25,CUNDINAMARCA,25320,GUADUAS,29280977,64248762,54464204,147993943
2015,1,25,CUNDINAMARCA,25530,PARATEBUENO,175519082,158026663,177021463,510567208
2015,1,41,HUILA,41132,CAMPOALEGRE,0,0,4709393.3281020699,4709393.3281020699
2015,1,41,HUILA,41349,HOBO,0,0,688725.50648133003,688725.50648133003
2015,1,41,HUILA,41524,PALERMO,23237844,21025484,27312694.0952328,71576022.0952328
2015,1,41,HUILA,41615,RIVERA,0,0,2494303.1856350899,2494303.1856350899
2015,1,41,HUILA,41885,YAGUARA,19835450,17947014,23313675.884548798,61096139.884548798
2015,1,47,MAGDALENA,47245,EL BANCO,24650511,42653450,50433679,117737640
2015,1,47,MAGDALENA,47318,GUAMAL,18143345,26114589,30326284,74584218
2015,1,47,MAGDALENA,47545,PIJINO DEL CARMEN,11926680,11583128,12749715,36259523
2015,1,47,MAGDALENA,47703,SAN ZENON,4877915,5297580,5935429,16110924
2015,1,47,MAGDALENA,47707,SANTA ANA,17359993,16859931,18557968,52777892
2015,1,47,MAGDALENA,47720,SANTA BARBARA DE PINTO,14404634,13989704,15398667,43793005
2015,1,50,META,50110,BARRANCA DE UPIA,140717097.896173,129187576.09310301,145923652.24273199,415828326.23200798
2015,1,50,META,50226,CUMARAL,164864115.10420999,151349723.76738399,170953835.25683299,487167674.12842703
2015,1,50,META,50573,PUERTO LOPEZ,469535379.36181599,398924470.87463498,459539284.46472698,1327999134.70118
2015,1,50,META,50606,RESTREPO,16109707.6378015,14796103.264878601,16715923.0357072,47621733.938387297
2015,1,54,NORTE DE SANTANDER,54099,BOCHALEMA,6265617,6382307,6937627,19585551
2015,1,54,NORTE DE SANTANDER,54172,CHINACOTA,17255331,17576693,19106027,53938051
2015,1,54,NORTE DE SANTANDER,54001,CUCUTA,40063064,40268511,44259098,124590673
2015,1,54,NORTE DE SANTANDER,54245,EL CARMEN,16223940,16526094,17964016,50714050
2015,1,54,NORTE DE SANTANDER,54250,EL TARRA,21664444,22067922,23988034,67720400
2015,1,54,NORTE DE SANTANDER,54385,LA ESPERANZA,19929064,25945680,28298946,74173690
2015,1,54,NORTE DE SANTANDER,54673,SAN CAYETANO,11032934,11238411,12216256,34487601
2015,1,54,NORTE DE SANTANDER,54720,SARDINATA,3853145,3924906,4266409,12044460
2015,1,54,NORTE DE SANTANDER,54800,TEORAMA,12335433,12565168,13658453,38559054
